GEO_ID,pop_change,non_white_change,unemploy_change,edu_change,med_income_change,mean_income_change,%change in diff between mean and median
1400000US42003482500,-12.81%,-0.7,-4.8,5.6,2.63%,6.90%,48.44%
1400000US42003483800,-2.24%,5.8,-1.7,-2,3.18%,-4.52%,-19.41%
1400000US42003484300,13.88%,7.5,5,-1,23.90%,36.89%,61.63%
1400000US42003484500,-8.40%,0.2,-0.2,-2.6,39.45%,22.46%,-61.45%
1400000US42003484600,-1.14%,-1.6,-0.6,7.1,-2.69%,-3.30%,-5.14%
1400000US42003485000,-15.02%,1.3,-2.6,3,2.25%,11.74%,71.74%
1400000US42003486700,-16.32%,7,10.8,12,-22.15%,99.30%,510.90%
1400000US42003486800,24.48%,29.4,7.1,1.6,-4.44%,-0.66%,5.42%
1400000US42003486900,-13.38%,5,5.9,-5.4,13.05%,12.30%,8.99%
1400000US42003487000,1.41%,2.5,-2,0.3,-6.10%,12.34%,319.62%
1400000US42003488100,-0.66%,4.6,8.2,1.2,23.73%,26.71%,42.22%
1400000US42003488200,-8.87%,-7.4,0.9,2.7,17.04%,9.80%,-17.61%
1400000US42003488300,-1.63%,-4.2,1.8,5.4,14.02%,37.37%,147.01%
1400000US42003488400,-8.54%,6.2,1.8,7.4,-0.46%,5.60%,59.99%
1400000US42003488500,4.70%,4.7,5.2,0.6,-0.61%,2.21%,29.18%
1400000US42003488600,8.21%,1.8,3.9,-0.9,7.54%,13.85%,69.76%
1400000US42003489001,-3.91%,-1.4,4.9,-1.3,3.24%,0.50%,-8.59%
1400000US42003489002,5.54%,4.9,5.1,-1.8,0.16%,-4.49%,-32.71%
1400000US42003490002,-6.74%,5.2,5.5,4.1,5.55%,7.94%,18.35%
1400000US42003490003,6.68%,6,-0.1,-0.9,2.84%,2.31%,-4.23%
1400000US42003490004,3.55%,0.6,2.2,8.7,3.18%,8.56%,156.45%
1400000US42003491101,16.88%,-2.8,4.4,-2.4,23.60%,16.59%,-9.52%
1400000US42003491200,-9.98%,-0.2,4.4,6.4,13.71%,-2.41%,-38.40%
1400000US42003492700,-6.63%,12.8,-5.8,-1.7,26.08%,32.24%,51.16%
1400000US42003492800,-1.55%,8.8,9.6,-0.6,4.97%,-2.44%,-15.91%
1400000US42003492900,-3.96%,11.7,-3.8,-1,2.57%,-14.42%,-57.79%
1400000US42003494000,-3.60%,-3.4,0.4,1.4,-2.55%,5.31%,46.49%
1400000US42003495000,-1.70%,2.3,11.2,8.9,-9.38%,-1.26%,31.19%
1400000US42003496101,2.13%,0.6,6.9,0,21.79%,16.37%,-15.88%
1400000US42003496102,-2.92%,3.1,-3.6,3.5,12.07%,17.17%,56.55%
1400000US42003496200,1.45%,-0.8,-0.7,-0.4,17.24%,6.15%,-32.20%
1400000US42003497000,-2.02%,-1.5,-2.1,1.1,-2.97%,13.23%,273.85%
1400000US42003498000,-0.39%,2.8,1.2,1.5,7.76%,7.02%,1.72%
1400000US42003499300,6.19%,0.8,-4.5,-6.5,-25.98%,-16.14%,-1063.93%
