GEO_ID	HC01_VC03	HC01_VC03	TotalPop_1015	StDevPop_1015
1400000US42003525100	2124	2040	-0.039548023	-0.361638503
1400000US42003525200	1913	2110	0.102979613	0.538627718
1400000US42003525300	2323	2248	-0.032285837	-0.315767399
1400000US42003526101	6467	6977	0.078861914	0.386289896
1400000US42003526102	2022	2148	0.06231454	0.28176952
1400000US42003526201	3736	3744	0.002141328	-0.098310528
1400000US42003526202	5059	4810	-0.049219213	-0.422725929
1400000US42003526301	4125	4541	0.100848485	0.525166589
1400000US42003526302	5440	5238	-0.037132353	-0.346380089
1400000US42003550900	1840	1740	-0.054347826	-0.455120466
1400000US42003551200	3586	3677	0.025376464	0.048452648
1400000US42003551300	2404	2570	0.069051581	0.324323583
1400000US42003551900	1308	1614	0.233944954	1.365861482
1400000US42003552000	2809	2697	-0.039871841	-0.363683877
1400000US42003552100	1295	1485	0.146718147	0.814899222
1400000US42003552200	1256	915	-0.271496815	-1.826727445
1400000US42003552300	2469	2184	-0.115431349	-0.840950427
1400000US42003552400	3374	2755	-0.183461766	-1.270659983
1400000US42003560400	1474	1652	0.120759837	0.650935306
1400000US42003560500	2516	2447	-0.027424483	-0.285060983
1400000US42003560600	899	939	0.044493882	0.169206533
1400000US42003561000	1525	1431	-0.061639344	-0.50117685
1400000US42003561100	847	898	0.060212515	0.268492218
1400000US42003561200	1558	1302	-0.164313222	-1.149709491
1400000US42003561400	4516	4073	-0.09809566	-0.731450715
1400000US42003561500	3013	3124	0.036840358	0.120863566
1400000US42003561600	2015	2124	0.054094293	0.229846881
1400000US42003561700	1434	868	-0.394700139	-2.604932953
1400000US42003561900	2473	2639	0.067124949	0.312154147
1400000US42003562000	3173	2988	-0.058304444	-0.480112176
1400000US42003562300	3291	3680	0.118201155	0.63477356
1400000US42003562400	3130	2622	-0.162300319	-1.136995127
1400000US42003562500	3120	3083	-0.011858974	-0.186742493
1400000US42003562600	2604	2726	0.046850998	0.1840951
1400000US42003562700	1412	1754	0.242209632	1.418064762
1400000US42003562800	1540	1668	0.083116883	0.41316612
1400000US42003562900	1871	1698	-0.092463923	-0.695878228
1400000US42003563000	2403	3275	0.362879734	2.180269341
1400000US42003563100	3540	3851	0.087853107	0.443082161
1400000US42003563200	2667	2300	-0.137607799	-0.981026483
1400000US42003563300	1492	1329	-0.10924933	-0.80190212
1400000US42003563800	3477	3621	0.041415013	0.149759063
1400000US42003563900	3964	3909	-0.013874874	-0.199475787
1400000US42003564000	4933	5902	0.196432191	1.12891464
1400000US42003564100	960	945	-0.015625	-0.210530341
1400000US42003564200	2361	2311	-0.021177467	-0.245602126
1400000US42003564400	5525	5459	-0.011945701	-0.187290299
1400000US42003564500	3170	3026	-0.045425868	-0.398765515
1400000US42003980000	0	220	1	6.204596633
1400000US42003980100	0	27	1	6.204596633
1400000US42003980300	10	0	-1	-6.428268793
1400000US42003980400	0	0	0	-0.11183608
1400000US42003980500	52	4	-0.923076923	-5.942389353
1400000US42003980600	0	3	1	6.204596633
1400000US42003980700	28	12	-0.571428571	-3.721226201
1400000US42003980800	0	0	0	-0.11183608
1400000US42003980900	1066	2135	1.002814259	6.22237271
1400000US42003981000	20	0	-1	-6.428268793
1400000US42003981100	0	5	1	6.204596633
1400000US42003981200	0	0	0	-0.11183608
1400000US42003981800	679	311	-0.54197349	-3.535175164
1400000US42003982200	4123	4516	0.095318943	0.490239607
1400000US42005950100	4574	4699	0.027328378	0.06078178
1400000US42005950200	2363	2228	-0.057130766	-0.472698719
1400000US42005950300	4001	3483	-0.129467633	-0.929609673
1400000US42005950400	2628	2455	-0.065829528	-0.527643865
1400000US42005950500	5605	5528	-0.013737734	-0.198609553
1400000US42005950600	3459	3214	-0.07082972	-0.559227238
1400000US42005950700	4071	3837	-0.057479735	-0.474902956
1400000US42005950800	4086	4146	0.014684288	-0.019083764
1400000US42005950900	5085	5053	-0.006293019	-0.151585509
1400000US42005951000	3050	2928	-0.04	-0.364493388
1400000US42005951100	4127	3947	-0.043615217	-0.387328662
1400000US42005951200	6002	5929	-0.012162612	-0.188660403
1400000US42005951300	2382	2568	0.078085642	0.381386626
1400000US42005951400	2747	2696	-0.018565708	-0.229105125
1400000US42005951500	2846	2985	0.048840478	0.196661512
1400000US42005951600	4835	4714	-0.025025853	-0.269910197
1400000US42005951700	3638	3723	0.023364486	0.035744124
1400000US42005951800	2204	2056	-0.067150635	-0.535988549
1400000US42005951900	1786	1790	0.002239642	-0.097689534
1400000US42007600601	2132	2234	0.047842402	0.19035723
1400000US42007600602	2743	2688	-0.020051039	-0.238487118
1400000US42007600700	7453	7763	0.041593989	0.150889553
1400000US42007601000	3761	3632	-0.034299388	-0.328485859
1400000US42007601100	3469	3242	-0.065436725	-0.525162752
1400000US42007601200	2803	2935	0.047092401	0.185619902
1400000US42007601300	2820	2591	-0.081205674	-0.624766254
1400000US42007601400	3316	3437	0.036489747	0.11864895
1400000US42007601600	1469	1334	-0.091899251	-0.692311516
1400000US42007601700	3392	3406	0.004127358	-0.085765898
1400000US42007601800	7272	7460	0.025852585	0.051460035
1400000US42007602100	3712	3610	-0.027478448	-0.285401849
1400000US42007602300	2508	2442	-0.026315789	-0.278057993
1400000US42007602400	2048	2025	-0.011230469	-0.18277258
1400000US42007602500	1407	1364	-0.030561478	-0.304875601
1400000US42007602601	4519	4929	0.090728037	0.461241462
1400000US42007602602	3622	3372	-0.069022639	-0.547812937
