GEO_ID	CLINTON	TRUMP	OTHERS_USP	MCGINTY	TOOMEY	OTHERS_USS	DEM_USC	REP_USC	OTHERS_USC
1400000US42107003200	809	2137.08	101.648	924.168	1863.744	209.136	1082.144	1900.968	0
1400000US42075003300	353.535	743.82	48.51	359.415	717.36	69.825	352.065	765.135	0
1400000US42101003300	1668.315	275.669	21.174	1595.873	248.843	19.381	1612.49	196.035	0
1400000US42107003300	657	1583	113	732	1390	213	896	1414	0
1400000US42075003400	636.814	1470.234	67.775	627.867	1470.655	93.068	566.45	1592.622	0
1400000US42107003400	340.372	1098.698	53.746	397.857	1006.176	85.492	445.894	1023.631	0
1400000US42075003500	1136.611	1926.693	117.989	1086.041	1949.981	129.701	958.05	2027.833	132.702
1400000US42107003500	600	1981	95	703	1765	195	821	1810	0
1400000US42075003600	725.611	1220.693	79.989	727.041	1174.981	109.701	665.05	1222.833	93.702
1400000US42101003600	2299.249	329.44	38.953	2196.996	334.206	29.555	2220.523	295.567	0
1400000US42107003600	236	1086	44	313	955	86	358	969	0
1400000US42075003700	386	1083	61	385	1049	74	306	1115	69
1400000US42107003700	247	1381	44	294	1261	101	332	1312	0
1400000US42101003701	2317.354	97.749	35.524	2271.013	90.073	24.845	2291.703	86.347	0
1400000US42101003702	1457.918	213.19	31.302	1400.28	207.951	20.823	1425.827	181.612	0
1400000US42075003800	1533	3367	199	1452	3458	202	1167	3697	187
1400000US42101003800	768.854	831.828	44.969	751.938	799.146	20.069	941.284	588.07	0
1400000US42107003800	214	587	51	255	512	75	309	528	0
1400000US42107003900	348	1360	61	404	1214	135	478	1256	0
1400000US42075003901	680.064	1271.298	79.944	675.276	1212.538	127.248	569.322	1317.076	101.116
1400000US42101003901	1497.677	794.669	77.538	1456.874	757.988	42.313	1584.298	629.077	0
1400000US42075003902	209.064	414.298	37.944	205.276	413.538	42.248	177.322	440.076	36.116
1400000US42101003902	1170.591	1525.968	66.723	1202.166	1392.528	33.804	1479.965	1094.506	0
1400000US42075004000	1251	2599	147	1163	2664	158	1030	2756	156
1400000US42101004001	1549.768	698.024	80.369	1519.549	670.086	48.954	1631.922	554.76	0
1400000US42101004002	1799.364	1631.02	123.08	1799.296	1534.458	48.876	2105.748	1207.616	0
1400000US42075004100	501	792	53	502	780	60	449	863	7
1400000US42101004101	1488.757	305.441	52.185	1434.634	301.26	23.744	1472.949	256.592	0
1400000US42101004102	1550.634	677.11	46.579	1502.76	619.836	38.835	1640.662	488.923	0
1400000US42075004200	1059	1662	101	1004	1711	85	915	1850	0
1400000US42101004201	1687.129	849.543	59.734	1668.464	736.243	46.454	1971.046	468.064	0
1400000US42101004202	824.545	510.588	32.186	834.922	443.246	19.807	999.034	286.117	0
1400000US42101005000	232.57	325.022	5.268	215.445	313.144	4.468	278.1	246.848	0
1400000US42077005100	548	905	95	583	839	109	500	911	101
1400000US42077005200	935	2181	98	995	2020	175	872	2123	172
1400000US42077005301	492	1167	72	503	1124	94	429	1195	86
1400000US42077005302	682	1517	88	666	1524	104	551	1585	122
1400000US42101005400	523.556	24.26	5.928	501.812	30.142	2.962	508.365	27.276	0
1400000US42077005401	416	833	46	399	831	61	337	893	50
1400000US42077005402	823	1885	116	787	1917	100	623	2068	94
1400000US42101005500	2451.528	190.454	29.714	2375.008	203.739	19.221	2448.142	154.735	0
1400000US42077005503	1601.564	2292.329	141.288	1518.547	2344.492	158.732	1241.395	2551.781	175.131
1400000US42077005504	1125.896	1594.823	97.202	1072.093	1627.769	112.384	880.633	1764.328	127.715
1400000US42077005505	207.418	299.756	20.961	198.924	308.798	17.673	158.372	340.308	20.961
1400000US42077005506	268.25	397.75	23.125	247.53	407.925	28.675	202.39	447.145	26.455
1400000US42101005600	0.842	0.032	0.012	0.816	0.052	0.004	0.808	0.036	0
1400000US42077005601	1292.757	1772.859	107.474	1260.955	1724.161	154.272	1073.543	1887.421	136.144
1400000US42077005602	826.51	979.655	56.31	794.085	960.04	96.805	694.04	1047.645	90.995
1400000US42077005702	899.36	984.555	92.135	910.035	934.265	116.28	793.49	1059.895	96.195
1400000US42077005703	811.197	526.795	41.714	778.43	514.326	60.36	718.067	573.63	54.36
1400000US42077005704	46.197	29.795	2.714	45.43	30.326	2.36	42.067	33.63	2.36
1400000US42077005705	315.804	373.554	16.013	301.335	377.712	22.107	256.06	419.301	21.704
1400000US42077005800	669	779	66	681	732	94	634	777	78
1400000US42077005901	1299	1244	159	1293	1211	162	1221	1305	117
1400000US42077005902	323	295	28	319	287	39	303	311	20
1400000US42101006000	3188.733	314.912	36.771	3100.219	329.772	23.499	3174.861	263.894	0
1400000US42077006001	1111.718	1244.217	67.437	1050.893	1254.286	104.542	827.07	1462.905	88.762
1400000US42077006002	966.572	791.197	51.017	848.281	907.548	48.578	591.17	1140.901	49.79
1400000US42101006100	979.584	84.328	7.416	951.752	89.432	6.416	961.064	70.016	0
1400000US42077006101	1150.262	1076.264	82.68	1071.096	1156.118	77.606	851.168	1359.266	70.582
1400000US42077006102	616.408	604.284	42.1	584.708	629.856	44.57	443.068	752.27	48.554
1400000US42101006200	1398.808	54.26	12	1338.764	60.688	8.772	1348.764	47.404	0
1400000US42077006202	1416.64	1397.12	115.04	1309.24	1532.72	91.84	1013.28	1770.24	110.04
1400000US42077006203	1296.381	1480.518	95.684	1121.82	1677.821	81.26	867.409	1884.856	103.064
1400000US42077006204	1230.021	1317.638	91.724	1127.06	1430.541	80.1	860.689	1652.096	97.104
1400000US42101006300	1163.487	59.999	13.517	1085.311	58.691	9.821	1084.228	52.25	0
1400000US42077006302	1248.222	1524.284	113.273	1157.42	1620.414	116.203	934.957	1832.082	103.151
1400000US42077006303	748	810	75	697	848	91	611	944	73
1400000US42077006304	866.997	1005.082	74.243	773.274	1109.863	75.225	620.604	1236.917	74.377
1400000US42077006305	1755.515	1996.556	148.432	1537.427	2236.662	127.829	1219.883	2477.916	139.117
1400000US42077006307	1738.929	1988.519	154.294	1525.726	2229.289	124.384	1209.627	2475.121	137.574
1400000US42077006308	813.658	899.59	71.642	753.541	982.223	51.287	645.806	1056.486	57.886
1400000US42101006400	1375.28	66.365	11.049	1313.325	66.895	7.956	1308.241	60.968	0
1400000US42077006401	675.126	827.792	62.02	632.805	859.337	64.074	532.525	932.673	70.942
1400000US42077006402	466.268	661.912	43.17	428.094	688.933	47.863	359.105	736.633	51.715
1400000US42077006500	1180.062	1250.825	131.086	1163.815	1241.974	145.139	1026.294	1363.001	127.976
1400000US42101006500	2294.453	35.413	17.734	2221.21	38.769	14.466	2215.797	39.942	0
1400000US42077006600	1920.126	2053.849	194.91	1814.591	2148.19	190.507	1527.542	2386.089	189.368
